,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3 Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"0, 1, a, b, 3",,,,,,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,"Detailed mapping/transformation instructions in the 336 mapping table by Deborah Fritz, May 2025. --CEY, 2025-09-02",Identifier or IRI that represents the content type for a manifestation [MCM?],"Treat same as $a and $b, which includes making a note if there is a $3 and a comment when there is a $2. --TG, 2022-11-11

Coded --TG, 2022-11-11;

Re-coded by MH in 2025. --CEY, 2025-09-02"
1,done,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,6,Linkage (NR),,,,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
