,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,#,No information provided,Undefined,#,Undefined,,,"d, a, b, c, e, n","Title, Custodian, Address, Country, Provenance, Note",,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Precede value with ""Location of other archival materials note: "" Include any subfield values in order listed. Retain isbd punctuation.",,
1,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,#,No information provided,Undefined,#,Undefined,,,"d, a, b, c, e, n, 3","Title, Custodian, Address, Country, Provenance, Note",,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Append value of $3 followed by colon (if no colon present) and space, an then ""Location of other archival materials note: "" before including any values of d, a, b, c, e, n. Retain isbd punctuation. ",,
2,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,0,Associated materials,Undefined,#,Undefined,,,"d, a, b, c, e, n","Title, Custodian, Address, Country, Provenance, Note",,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Precede value with ""Associated materials: "" Include any subfield values in order listed. Retain isbd punctuation. ",,
3,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,0,Associated materials,Undefined,#,Undefined,,,"d, a, b, c, e, n, 3","Title, Custodian, Address, Country, Provenance, Note",,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Append value of $3 followed by colon (if no colon present) and space, and then ""Associated materials: "" before including any values of d, a, b, c, e, n. Retain isbd punctuation. ",,
4,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,1,Related materials,Undefined,#,Undefined,,,"d, a, b, c, e, n","Title, Custodian, Address, Country, Provenance, Note",,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Precede value with ""Related materials: "" Include any subfield values in order listed. Retain isbd punctuation. ",,
5,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,1,Related materials,Undefined,#,Undefined,,,"d, a, b, c, e, n, 3","Title, Custodian, Address, Country, Provenance, Note",,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Append value of $3 followed by colon (if no colon present) and space, and then ""Related materials: "" before including any values of d, a, b, c, e, n. Retain isbd punctuation. ",,
6,done,544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE (R),Relationship,*,,,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6,,
