,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,a,Title (NR),,,,,,,,,,,,,
1,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,a,Title (NR),,,,,,,,,,,,,
2,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,b,Remainder of title (NR),,,,,,,,,,,,,
3,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,b,Remainder of title (NR),,,,,,,,,,,,,
4,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,c,"Statement of responsibility, etc. (NR)",,,,,,,,,,,,,
5,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,c,"Statement of responsibility, etc. (NR)",,,,,,,,,,,,,
6,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,d,Designation of section (BK AM MP MU VM SE) [OBSOLETE],,,,,,,,,,,,,
7,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,d,Designation of section (BK AM MP MU VM SE) [OBSOLETE],,,,,,,,,,,,,
8,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,e,Name of part/section (BK AM MP MU VM SE) [OBSOLETE],,,,,,,,,,,,,
9,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,e,Name of part/section (BK AM MP MU VM SE) [OBSOLETE],,,,,,,,,,,,,
10,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,h,Medium (NR),,,,,,,,,,,,,
11,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,h,Medium (NR),,,,,,,,,,,,,
12,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,n,Number of part/section of a work (R),,,,,,,,,,,,,
13,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,n,Number of part/section of a work (R),,,,,,,,,,,,,
14,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,p,Name of part/section of a work (R),,,,,,,,,,,,,
15,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,p,Name of part/section of a work (R),,,,,,,,,,,,,
16,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,y,Language code of translated title (NR),,,,,,,,,,,,,
17,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,y,Language code of translated title (NR),,,,,,,,,,,,,
18,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,6,Linkage (NR),,,,,,,,,,,,,
19,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,0,No added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,8,Field link and sequence number (R),,,,,,,,,,,,,
20,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,6,Linkage (NR),,,,,,,,,,,,,
21,phase II,242,TRANSLATION OF TITLE BY CATALOGING AGENCY (R),Title added entry,1,Added entry,Nonfiling characters,0-9,Number of nonfiling characters,,,8,Field link and sequence number (R),,,,,,,,,,,,,
