,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,300,PHYSICAL DESCRIPTION (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
1,done,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,"3, a, b, c, e, f, g",Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30182,has extent of manifestation,structured,,"Retain punctuations and keep the orders as they are.--JL 2024/20/30; If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27

For $3 append (Applies to: [value of $3]) to the end of the string -- CP 2025-09-28",,
