,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,Phase II,883,METADATA PROVENANCE (R),Method of assignment,#,No information provided/not applicable,Undefined,#,Undefined,,,a,Creation process (NR),,,,,,,,,,,,,
1,Phase II,883,METADATA PROVENANCE (R),Method of assignment,0,Fully machine-generated,Undefined,#,Undefined,,,a,Creation process (NR),,,,,,,,,,,,,
2,Phase II,883,METADATA PROVENANCE (R),Method of assignment,1,Partially machine-generated,Undefined,#,Undefined,,,a,Creation process (NR),,,,,,,,,,,,,
3,Phase II,883,METADATA PROVENANCE (R),Method of assignment,2,Not machine-generated,Undefined,#,Undefined,,,a,Creation process (NR),,,,,,,,,,,,,
4,Phase II,883,METADATA PROVENANCE (R),Method of assignment,#,No information provided/not applicable,Undefined,#,Undefined,,,c,Confidence value (NR),,,,,,,,,,,,,
5,Phase II,883,METADATA PROVENANCE (R),Method of assignment,0,Fully machine-generated,Undefined,#,Undefined,,,c,Confidence value (NR),,,,,,,,,,,,,
6,Phase II,883,METADATA PROVENANCE (R),Method of assignment,1,Partially machine-generated,Undefined,#,Undefined,,,c,Confidence value (NR),,,,,,,,,,,,,
7,Phase II,883,METADATA PROVENANCE (R),Method of assignment,2,Not machine-generated,Undefined,#,Undefined,,,c,Confidence value (NR),,,,,,,,,,,,,
8,Phase II,883,METADATA PROVENANCE (R),Method of assignment,#,No information provided/not applicable,Undefined,#,Undefined,,,d,Creation date (NR),,,,,,,,,,,,,
9,Phase II,883,METADATA PROVENANCE (R),Method of assignment,0,Fully machine-generated,Undefined,#,Undefined,,,d,Creation date (NR),,,,,,,,,,,,,
10,Phase II,883,METADATA PROVENANCE (R),Method of assignment,1,Partially machine-generated,Undefined,#,Undefined,,,d,Creation date (NR),,,,,,,,,,,,,
11,Phase II,883,METADATA PROVENANCE (R),Method of assignment,2,Not machine-generated,Undefined,#,Undefined,,,d,Creation date (NR),,,,,,,,,,,,,
