,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,538,SYSTEM DETAILS NOTE (R),Undefined,*,,Undefined,*,,,,"a, i, u",,,,not($5),,,,http://rdaregistry.info/Elements/m/P30162,has equipment or system requirement,unstructured description,,"[Manifestation]-->rdamd:P30162-->{value of $a} + ""; "" + {value of $i} + "" "" + {value of $u} -- ZP 6/17/2022; Note that $u is repeatable -- ZP 6/17/2022",,
1,done,538,SYSTEM DETAILS NOTE (R),Undefined,*,,Undefined,*,,,,"a, i, u, 5",,,,5,,,,http://rdaregistry.info/Elements/i/P40028,has note on item,unstructured description,,"For each $5: 
[Manifestation]-->rdamo:P30103-->[Item]
[Item]-->rdaio:P40161-->{collection manifestation from preprocessed $5}
[Item]-->rdaid:P40028-->{value of $a} + ""'; "" + {value of $i} + "" "" + {value of $u} -- ZP 5/8/2023
Note that $u is repeatable -- ZP 5/8/2023",,
2,done,538,SYSTEM DETAILS NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified  (NR),,,,,,,,,unstructured description,,"Append ""(Applies to: + {value of $3})"" to the end of string -- ZP 6/17/2022",,
3,done,538,SYSTEM DETAILS NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,See Decision on $6  https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6 ,,
