,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,#|0,No information provided| No restrictions,Undefined,*,,,,"a, b, c, d, e, g, q, u, 3, 5","Terms governing access (NR), Jurisdiction (R), Physical access provisions (R), Authorized users (R), Authorization (R), Standardized terminology for access restriction (R), Availability date (R), Supplying agency (NR), Uniform Resource Identifier (R), Source of term (NR), Materials specified (NR)",,,,,,,http://rdaregistry.info/Elements/i/P40047,has restriction on access to item,unstructured description,,"(item - minted) has manifestation exemplified (manifestation the MARC is describing)
ex: manifestationIRI rdamo:p30103  ex:itemIRI
ex:itemIRI rdaid:p40047  label and value of subfield a, b, c, d, e, g, q, ""additional information at: "" + [value of $u]; ""(applies to: + [value of $3])""
ex:itemIRI rdai:P40161 is holding of [value from $5]",,
1,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,1,Restrictions apply,Undefined,*,,,,"a, b, c, d, e, g, q, u, 3, 5","Terms governing access (NR), Jurisdiction (R), Physical access provisions (R), Authorized users (R), Authorization (R), Standardized terminology for access restriction (R), Availability date (R), Supplying agency (NR), Uniform Resource Identifier (R), Source of term (NR), Materials specified (NR)",,,,,,,http://rdaregistry.info/Elements/i/P40047,has restriction on access to item,unstructured description,,"(item - minted) has manifestation exemplified (manifestation the MARC is describing)
ex: manifestationIRI rdamo:p30103  ex:itemIRI
ex:itemIRI rdaid:p40047 ""Restrictions apply:"" label and value of subfield a, b, c, d, e, g, q, ""additional information at: "" + [value of $u]; ""(applies to: + [value of $3])""
ex:itemIRI rdai:P40161 is holding of [value from $5]",,
2,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,*,,Undefined,*,,,,"f, 2","Standardized terminology for access restriction (R), Source of term (NR)",,,,,,,http://rdaregistry.info/Elements/i/P40047,has restriction on access to item,IRI,,"Item P40047 has restriction on access to item [$f]
use $2 lookup for concept. If $3, add note on item ""restriction on access [iri] applies to [$3]""
- CP 2024-07-16",,
3,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,#|0,No information provided| No restrictions,Undefined,*,,,,"a, b, c, d, e, g, q, u, 3, 5","Terms governing access (NR), Jurisdiction (R), Physical access provisions (R), Authorized users (R), Authorization (R), Standardized terminology for access restriction (R), Availability date (R), Supplying agency (NR), Uniform Resource Identifier (R), Source of term (NR), Materials specified (NR)",,,F338,"When $2 is rdac or rdacarrier:
$a - online resource 
$b - cr or 1018",,,http://rdaregistry.info/Elements/m/P30145,has restriction on access to manifestation,unstructured description,," label and value of subfield a, b, c, d, e, g, q, ""additional information at: "" + [value of $u]; ""(applies to: + [value of $3])""
 (at institution + [institution name from $5])",,coded - CP 2024-08-13
4,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,1,Restrictions apply,Undefined,*,,,,"a, b, c, d, e, g, q, u, 3, 5","Terms governing access (NR), Jurisdiction (R), Physical access provisions (R), Authorized users (R), Authorization (R), Standardized terminology for access restriction (R), Availability date (R), Supplying agency (NR), Uniform Resource Identifier (R), Source of term (NR), Materials specified (NR)",,,F338,"When $2 is rdac or rdacarrier:
$a - online resource 
$b - cr or 1018",,,http://rdaregistry.info/Elements/m/P30145,has restriction on access to manifestation,unstructured description,,"""Restrictions apply: "" label and value of subfield a, b, c, d, e, g, q, ""additional information at: "" + [value of $u]; ""(applies to: + [value of $3])""
 (at institution + [institution name from $5])",,coded - CP 2024-08-13
5,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,*,,Undefined,*,,,,"f, 2","Standardized terminology for access restriction (R), Source of term (NR)",,,F338,"When $2 is rdac or rdacarrier:
$a - online resource 
$b - cr or 1018",,,http://rdaregistry.info/Elements/m/P30145,has restriction on access to manifestation,IRI,,"use $2 lookup for concept. If $3, add note on manifestation ""restriction on access [iri] applies to [$3]""
- CP 2024-07-16",,coded - CP 2024-08-13
6,done,506,RESTRICTIONS ON ACCESS NOTE (R),Restriction,*,,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
