,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,"a, g",Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,structured description; unstructured description,,[Work]-->rdawd:P10209-->[value of $a; value of $g] -- 8/2/2022 ZP; 2024-09-11 CY,,
1,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Degree type (NR),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,unstructured description,,[Work]-->rdawd:P10077-->[value of $b] -- 8/17/2022 ZP,,
2,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,c,Name of granting institution (NR),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,unstructured description,,[Work]-->rdawd:P10006-->[value of $c] -- 8/17/2022 ZP,,
3,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,d,Year of degree granted (NR),,,,,,,http://rdaregistry.info/Elements/w/P10215,has year degree granted,unstructured description,,[Work]-->rdawd:P10215-->[value of $d] -- 8/17/2022 ZP,,Remove ending periods in $d -- ZP 4/3/2023
4,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,o,Dissertation identifier (R),,,,,,,http://rdaregistry.info/Elements/w/P10002,has identifier for work,identifier,,"[Work]-->rdawo:P10002-->[Nomen]. [Nomen]-->rdand:P80068-->[value of $o]. [Nomen]-->rdand:P80078-->""Dissertation identifier"" -- ZP 4/3/2023; CY 2024-09-11",,Remove ending periods in $o -- ZP 4/3/2023
5,done,502,DISSERTATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6,,
