,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,0.0,Production,,,a,"Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30086,has place of production,unstructured description,,"remove square brackets if present - CP 2024-07-26

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
1,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,0.0,Production,,,a,"Place of production, publication, distribution, manufacture (R)",,,$a, = ,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30086,has place of production,unstructured description|structured description,,"Strings before the "" = "" belong in ""has place of publication"". Strings following "" = "" should be values of this property, with "" = "" as a separator between distinct values. CEC 2022-06-02

coded. however if the place name contains '=' then the code will produce an error.--TG 2022-09-22

SZ. 2022-10-03. Changed soft deprecated property according to https://www.rdaregistry.info/Aligns/alignSoft2Rec.html 

remove square brackets if present - CP 2024-07-26

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
2,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,0.0,Production,,,"a, b, c","Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30110,has production statement,structured description,Retain MARC subfields when ISBD punctuation is absent in order to maintain structure of description. CEC 2022-06-02,"when LDR 18 = a or i, remove marc subfields and rely on ISBD punctuation. When LDR 18=c, retain marc subfield codes to separate pieces of information CEC 2022-06-02

coded. --TG 2022-09-22

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
3,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,1.0,Publication,,,a,"Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30088,has place of publication,unstructured description,,"coded. however if the place name contains '=' then the code will produce an error. --TG 2022-09-22

remove square brackets if present - CP 2024-07-26

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
4,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,1.0,Publication,,,a,"Place of production, publication, distribution, manufacture (R)",,,$a, = ,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30088,has place of publication,unstructured description|structured description,,"Strings before the "" = "" belong in ""has place of publication"". Strings following "" = "" should be values of this property, with "" = "" as a separator between distinct values. CEC 2022-06-02

coded. however if the place name contains '=' then the code will produce an error. --TG 2022-09-22

SZ. 2022-10-03. Changed soft deprecated property according to https://www.rdaregistry.info/Aligns/alignSoft2Rec.html

remove square brackets if present - CP 2024-07-26

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
5,done,264,SERIES STATEMENT (R),Series tracing policy,*,,Undefined,1.0,,,,"a, b, c","Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30111,has publication statement,structured description,Retain MARC subfields when ISBD punctuation is absent in order to maintain structure of description. CEC 2022-06-02,"when LDR 18 = a or i, remove marc subfields and rely on ISBD punctuation. When LDR 18=c, retain marc subfield codes to separate pieces of information CEC 2022-06-02

coded. --TG 2022-09-22

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
6,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,2.0,Distribution,,,a,"Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30085,has place of distribution,unstructured description,,"coded. however if the place name contains '=' then the code will produce an error.--TG 2022-09-22

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
7,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,2.0,Distribution,,,a,"Place of production, publication, distribution, manufacture (R)",,,$a, = ,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30085,has place of distribution,unstructured description|structured description,,"Strings before the "" = "" belong in ""has place of publication"". Strings following "" = "" should be values of this property, with "" = "" as a separator between distinct values. CEC 2022-06-02

coded. however if the place name contains '=' then the code will produce an error.--TG 2022-09-22 

SZ. 2022-10-03. Changed soft deprecated property according to https://www.rdaregistry.info/Aligns/alignSoft2Rec.html 

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
8,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,2.0,Distribution,,,"a, b, c","Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30108,has distribution statement,structured description,Retain MARC subfields when ISBD punctuation is absent in order to maintain structure of description. CEC 2022-06-02,"when LDR 18 = a or i, remove marc subfields and rely on ISBD punctuation. When LDR 18=c, retain marc subfield codes to separate pieces of information CEC 2022-06-02

coded. --TG 2022-09-22

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
9,done,264,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)",Sequence of statements,*,,Function of entity,3.0,Manufacture,,,a,"Place of production, publication, distribution, manufacture (R)",,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30087,has place of manufacture,unstructured description,,"coded. however if the place name contains '=' then the code will produce an error.--TG 2022-09-22

If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-05",,
