,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,511,PARTICIPANT OR PERFORMER NOTE (R),Display constant controller,*,,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,"https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6 
",,
1,done,511,PARTICIPANT OR PERFORMER NOTE (R),Display constant controller,0,,Undefined,*,,,,a,Participant or performer note (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured description,,[Manifestation]-->rdamd:P30137-->[value of $a] -- ZP 12/29/2022,,
2,done,511,PARTICIPANT OR PERFORMER NOTE (R),Display constant controller,1,,Undefined,*,,,,a,Participant or performer note (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured description,,"[Manifestation]-->rdamd:P30137-->""Cast: ""+{value of $a} -- ZP 12/29/2022",,
