,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,a,"Place of production, release, etc. (NR)",,,,,,,,,,,,,
1,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,b,Publisher or trade name (NR),,,,,,,,,,,,,
2,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,c,"Date of production, release, etc. (NR)",,,,,,,,,,,,,
3,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,k,Serial identification (NR),,,,,,,,,,,,,
4,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,l,Matrix and/or take number (NR),,,,,,,,,,,,,
5,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
6,phase II,262,IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL],Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
