,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,Format of notated music term (R),,,,,,,http://rdaregistry.info/Elements/e/P20209,has format of notated music,,,,,
1,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,b,Format of notated music code (R),,,,,,,http://rdaregistry.info/Elements/e/P20209,has format of notated music,,,,,
2,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,c,Form of musical notation term (R),,,,,,,http://rdaregistry.info/Elements/e/P20064,has form of musical notation,,,,,
3,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,d,Form of musical notation code (R),,,,,,,http://rdaregistry.info/Elements/e/P20064,has form of musical notation,,,,,
4,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,2,Source of term (NR),,,,,,,,,,,,,
5,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,
6,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
7,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
8,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/e/P20064,has form of musical notation,,,,,
9,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/e/P20209,has format of notated music,,,,,
10,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/e/P20064,has form of musical notation,,,,,
11,phase II,348,NOTATED MUSIC CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/e/P20209,has format of notated music,,,,,
