,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,"p, a, b, c, e, f, k, l, m, n, o, t, x, z",,,,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,Cannot verify that reproduction being described and manifestation described by 534 are based on the same expression,“['Contents of $p' or 'Original Version Note: ' if no $p] ‘Contents of 534 field’”,"Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25; Use labels for each subfield from MARC. cey & cp, 2024-04-04",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
1,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,"p, a, b, c, e, f, k, l, m, n, o, t, x, z",,,,LDR/06-08,ab|ai|as,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,Cannot verify that reproduction being described and manifestation described by 534 are based on the same expression,“['Contents of $p' or 'Original Version Note: ' if no $p] ‘Contents of 534 field’”,"Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25; Use labels for each subfield from MARC. cey & cp, 2024-04-04",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
2,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,*,,,,Previous conditions,False,,,,,http://rdaregistry.info/Elements/m/P30024,equivalent manifestation,IRI,,"[ReprodIRI] rdam:P30137 “has note on manifestation” “[$p or Original Version Note: ] ‘Contents of 534 field’”
[ReprodIRI] rdam:P30024 ""equivalent manifestation"" [OrigIRI]
[OrigIRI] rdf:type ""type"" rdac:C10007
[OrigIRI] rdam:P30139 ""expression manifested"" [ReprodExpressionIRI]
* Follow with individual subfield statements in rows below
* Each 534 generates a new note on manifestation. Each 534 meeting conditions in this row mints a new manifestation [OrigIRI] with all the above statements plus additional for whichever subfields below are present","Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
3,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,b,Edition statement of original (NR),,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/P30107,has edition statement,unstructured,,[OrigIRI] rdam:P30107 “has edition statement” “$b contents”,,https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
4,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,c,"Publication, distribution, etc. of original (NR)",,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/P30111,publication statement,structured,,"[OrigIRI] rdam:P30111 ""publication statement"" “$c contents”",,https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
5,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,e,"Physical description, etc. of original (NR)",,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/30137,has note on manifestation,unstructured,,"[OrigIRI] rdam:P30137 “has note on manifestation” “‘Physical description, etc.: ’ ‘$e contents’”","Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
6,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,f,Series statement of original (R),,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/30106,has series statement,structured,,[OrigIRI] rdam:P30106 “has series statement” “$f contents”,,https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
7,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,m,Material specific details (NR),,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/30137,has note on manifestation,unstructured,,[OrigIRI] rdam:P30137 “has note on manifestation” “‘Material specific details: ’ ‘$m contents’”,"Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
8,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,n,Note about original (R),,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/30137,has note on manifestation,unstructured,,[OrigIRI] rdam:P30137 “has note on manifestation” “$n contents”,"Need a generic approach to mapping subfielded notes without ISBN punctuation to add punctuation for readability after MARC subfields are stripped. Many notes look like this. -group meeting, 2023-10-25",https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
9,phase 2,534,ORIGINAL VERSION NOTE (R),Undefined,*,,Undefined,*,,,,o,Other resource identifier (R),,,LDR/06-08,NOT(ab|ai|as),$x,"if exists, same as 022 ## $a if exists",NOT($3),,http://rdaregistry.info/Elements/m/30004,has identifier for manifestation,identifier,,[OrigIRI] rdam:P30004 ”has identifier for manifestation” “$o contents”,,https://docs.google.com/document/d/1RN5KzX4TuyUIUs-8TsBocbDd-nIINJ0WE9kqy6YLtKU/edit?usp=sharing
