,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,530,ADDITIONAL PHYSICAL FORM AVAILABLE NOTE (R),Undefined,*,,Undefined,*,,,,"a, b, c, d, u",Additional physical form available note (NR),,,not($3),,,,http://rdaregistry.info/Elements/m/P30026,is also issued as,unstructured description,,"""Additional physical form available note: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
1,done,530,ADDITIONAL PHYSICAL FORM AVAILABLE NOTE (R),Undefined,*,,Undefined,*,,,,"a, b, c, d, u",Additional physical form available note (NR),,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30026,is also issued as,unstructured description,,"""[Value of $3] additional physical form available note: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
2,done,530,ADDITIONAL PHYSICAL FORM AVAILABLE NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
