,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,60,NATIONAL LIBRARY OF MEDICINE CALL NUMBER (R),Existence in NLM collection,*, ,Source of call number,*, ,,,a,Classification number (R),,,$a, in “QS-QZ and W”,,,http://rdaregistry.info/Elements/w/P10256,has subject,IRI,,"<work> rdawo:P10256 <ConceptNLM(value of $a)> .
<ConceptNLM(value of $a)> skos:notation ""value of $a""^^<SchemeNotationNLM> .
<ConceptNLM(value of $a)> skos:altLabel ""value of $a"" .
<ConceptNLM(value of $a)> skos:inScheme http://id.loc.gov/vocabulary/classSchemes/nlm . // tScheme(schemeCode) for 060 = http://id.loc.gov/vocabulary/classSchemes/ + “nlm”",,coded - CP 2024-08-30
1,done,60,NATIONAL LIBRARY OF MEDICINE CALL NUMBER (R),Existence in NLM collection,*, ,Source of call number,*, ,,,a,Classification number (R),,,$a ,not in “QS-QZ and W”,,,http://rdaregistry.info/Elements/w/P10256,has subject,IRI,,"""<work> rdawo:P10256 <ConceptLCC(value of $a)> .
<ConceptLCC(value of $a)> skos:notation ""value of $a""^^<SchemeNotationLCC> .
<ConceptLCC(value of $a)> skos:altLabel ""value of $a"" .
<ConceptLCC(value of $a)> skos:inScheme http://id.loc.gov/vocabulary/classSchemes/lcc . // tScheme(schemeCode) for 060 = http://id.loc.gov/vocabulary/classSchemes/ + “lcc”
",,coded - CP 2024-08-30
