,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,240,UNIFORM TITLE (NR),,,,,,,,,d,Date of treaty signing,,,,,,,https://www.rdaregistry.info/Elements/w/datatype/#P10219,has date of work,unstructured,,"See Headings Mapping Table, WEM tab",,
1,done,240,UNIFORM TITLE (NR),,,,,,,,,n,Number of a part/section of a work,,,If $n = '\([1-2][0-9][0-9][0-9]\)',,,,https://www.rdaregistry.info/Elements/w/datatype/#P10219,has date of work,unstructured,,"See Headings Mapping Table, WEM tab",,
2,done,240,UNIFORM TITLE (NR),,,,,,,,,n,Number of a part/section of a work,,,IF 'op.' or 'opp.',,,,https://www.rdaregistry.info/Elements/w/datatype/#P10333,has opus number,unstructured,,"See Headings Mapping Table, WEM tab",,
3,done,240,UNIFORM TITLE (NR),,,,,,,,,l,Language of a work,,,,,,,https://www.rdaregistry.info/Elements/w/datatype/#P10353,has language of representative expression,unstructured,,"See Headings Mapping Table, WEM tab",,
4,done,240,UNIFORM TITLE (NR),,,,,,,,,l,Language of a work,,,,,,,https://www.rdaregistry.info/Elements/e/datatype/#P20006,has language of expression,unstructured,,"See Headings Mapping Table, WEM tab",,
5,done,240,UNIFORM TITLE (NR),,,,,,,,,m,Medium of performance for music,,,,,,,https://www.rdaregistry.info/Elements/w/datatype/#P10220,has medium of performance of musical content of representative expression,unstructured,,"See Headings Mapping Table, WEM tab",,
6,done,240,UNIFORM TITLE (NR),,,,,,,,,m,Medium of performance for music,,,,,,,https://www.rdaregistry.info/Elements/e/datatype/#P20215,has medium of performance of musical content,unstructured,,"See Headings Mapping Table, WEM tab",,
7,done,240,UNIFORM TITLE (NR),,,,,,,,,r,Key for music,,,,,,,https://www.rdaregistry.info/Elements/w/datatype/#P10221,has key of representative expression,unstructured,,"See Headings Mapping Table, WEM tab",,
8,done,240,UNIFORM TITLE (NR),,,,,,,,,r,Key for music,,,,,,,https://www.rdaregistry.info/Elements/e/datatype/#P20326,has key of expression,unstructured,,"See Headings Mapping Table, WEM tab",,
9,done,240,UNIFORM TITLE (NR),,,,,,,,,"a, d, k, n, p, t, g",,,,,,,,http://rdaregistry.info/Elements/w/datatype/P10328,has access point for work,structured,,"See Headings Mapping Table, WEM tab",,
10,done,240,UNIFORM TITLE (NR),,,,,,,,,$adknpt + g (if before 'flmors'),,,,,,,,http://rdaregistry.info/Elements/w/datatype/#P10088,has title of work,unstructured,,"See Headings Mapping Table, WEM tab",,
11,done,240,UNIFORM TITLE (NR),,,,,,,,,f,Date of work,,,If NOT $f = '\([1-2][0-9][0-9][0-9]\)',,,,https://www.rdaregistry.info/Elements/e/datatype/#P20214,has date of expression,unstructured,,"See Headings Mapping Table, WEM tab",,"Condition is to exclude dates in parenthesis. --CEY, 2025-09-08"
12,done,240,UNIFORM TITLE (NR),,,,,,,,,o,Arranged statement for music,,,"IF $o ='arr.' OR 'arranged', then map as 'Arrangement'",,,,https://www.rdaregistry.info/Elements/w/datatype/#P20331,has category of expression,unstructured,,"See Headings Mapping Table, WEM tab",,
13,done,240,UNIFORM TITLE (NR),,,,,,,,,s,Version,,,,,,,https://www.rdaregistry.info/Elements/e/datatype/#P20572,has designation of version,unstructured,,"See Headings Mapping Table, WEM tab",,
14,done,240,UNIFORM TITLE (NR),,,,,,,,,"a, d, k, n, p, t, g, f, l, m, o, r, s",,,,,,,,http://rdaregistry.info/Elements/e/datatype/P20310,has access point for expression,structured,,"See Headings Mapping Table, WEM tab",,
15,done,240,UNIFORM TITLE (NR),,,,,,,,,"a, d, k, n, p, t, f, l, m, o, r, s + g (if after adknpt)",,,,,,,,https://www.rdaregistry.info/Elements/e/datatype/#P20312,has title of expression,,,"See Headings Mapping Table, WEM tab",,
16,done,240,UNIFORM TITLE (NR),Uniform title printed or displayed,*,Not printed or displayed,Nonfiling characters,0-9,Number of nonfiling characters,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
